Table 3: Controller First Level Decoding
Instruction(s),opcode,rf_we,sel_ext,sel_alu_src_b,dmem_we,sel_result,sel_pc_src,alu_op
lw,0000011,1,000,1,0,01,0,00
sw,0100011,0,001,1,1,00,0,00
A&L (R-type),0110011,1,000,0,0,00,0,01
A&L (I-type),0010011,1,000,1,0,00,0,10
jal,1101111,1,100,0,0,10,1,00
lui,0110111,1,011,0,0,11,0,00

Table 4: Controller Second Level Decoding
alu_op,funct3,funct7,alu_control,target instruction(s)
00,-,-,0000 (add),lw/sw/jal/lui
01,000,0x00,0000 (add),add
01,000,0x20,0001 (sub),sub
01,001,0x00,0010 (sll),sll
01,010,0x00,0100 (slt),slt
01,011,0x00,0110 (sltu),sltu
01,100,0x00,1000 (xor),xor
01,101,0x00,1010 (srl),srl
01,101,0x20,1011 (sra),sra
01,110,0x00,1100 (or),or
01,111,0x00,1110 (and),and
10,000,-,0000 (add),addi
10,001,-,0010 (sll),slli
10,010,-,0100 (slt),slti
10,011,-,0110 (sltu),sltiu
10,100,-,1000 (xor),xori
10,101,-,1010 (srl),srli
10,101,-,1011 (sra),srai
10,110,-,1100 (or),ori
10,111,-,1110 (and),andi

